"","religpew","pew_bornagain","pid7","race"
"1105",1,1,5,1
"1106",11,2,1,1
"1107",1,1,4,1
"1108",11,2,3,1
"1109",1,1,5,6
"1110",2,2,7,1
"1111",1,2,7,1
"1112",10,2,6,4
"1113",11,2,7,1
"1114",2,2,1,1
"1115",1,2,6,1
"1116",2,2,5,1
"1117",1,1,6,1
"1118",1,1,1,2
"1119",2,2,2,1
"1120",2,2,2,3
"1121",1,2,3,1
"1122",1,1,1,1
"1123",12,2,4,1
"1124",11,2,2,1
"1125",1,2,1,2
"1126",2,2,1,1
"1127",1,1,5,1
"1128",12,2,1,1
"1129",2,2,4,1
"1130",2,2,7,1
"1131",10,2,4,6
"1132",11,2,1,1
"1133",5,2,2,1
"1134",1,1,7,1
"1135",1,2,7,1
"1136",5,2,1,1
"1137",1,2,4,1
"1138",2,2,1,3
"1139",2,2,4,1
"1140",3,1,7,1
"1141",1,2,1,1
"1142",12,2,1,1
"1143",1,1,7,1
"1144",2,2,3,1
"1145",1,2,6,1
"1146",1,1,4,1
"1147",1,2,2,1
"1148",9,2,5,3
"1149",1,2,2,2
"1150",1,1,1,1
"1151",5,2,4,1
"1152",12,2,7,1
"1153",11,2,7,1
"1154",11,2,7,1
"1155",2,1,7,1
"1156",2,2,1,1
"1157",1,2,7,1
"1158",11,2,5,1
"1159",2,1,4,1
"1160",1,2,6,1
"1161",5,2,1,1
"1162",2,2,2,1
"1163",11,2,5,1
"1164",1,1,7,1
"1165",10,2,3,1
"1166",2,2,1,3
"1167",2,2,4,1
"1168",2,2,3,1
"1169",1,2,6,1
"1170",1,2,4,1
"1171",9,2,4,1
"1172",10,2,3,1
"1173",3,2,5,1
"1174",12,2,2,1
"1175",1,2,6,1
"1176",10,2,4,1
"1177",12,2,2,1
"1178",1,2,7,1
"1179",11,2,1,2
"1180",1,1,3,1
"1181",2,2,2,1
"1182",5,2,7,7
"1183",2,2,1,1
"1184",1,2,3,1
"1185",11,2,8,3
"1186",5,2,1,1
"1187",2,2,1,1
"1188",2,2,4,1
"1189",5,2,1,1
"1190",1,1,4,1
"1191",1,2,5,1
"1192",11,2,3,1
"1193",2,2,7,1
"1194",11,2,3,1
"1195",12,2,2,1
"1196",1,1,5,1
"1197",1,2,7,1
"1198",1,1,5,7
"1199",9,2,7,1
"1200",1,1,5,7
"1201",12,2,1,1
"1202",1,2,2,1
"1203",5,2,1,1
"1204",2,2,3,1
"1205",11,2,4,1
"1206",11,2,3,2
"1207",1,2,4,1
"1208",2,2,1,1
"1209",9,2,2,1
"1210",6,1,1,1
"1211",2,2,4,1
"1212",2,1,5,1
"1213",2,2,4,1
"1214",10,2,4,4
"1215",2,2,1,1
"1216",2,2,7,1
"1217",1,2,7,1
"1218",11,2,5,1
"1219",1,2,3,1
"1220",12,2,1,1
"1221",2,2,7,1
"1222",9,2,1,1
"1223",1,1,5,1
"1224",12,2,7,1
"1225",10,2,7,1
"1226",10,2,1,1
"1227",11,2,7,1
"1228",2,2,7,1
"1229",1,2,1,1
"1230",12,1,4,1
"1231",11,2,4,1
"1232",1,1,7,1
"1233",1,1,5,1
"1234",10,2,5,1
"1235",5,2,2,1
"1236",2,2,1,1
"1237",2,2,1,1
"1238",2,2,2,1
"1239",1,2,2,1
"1240",1,2,4,1
"1241",2,2,6,1
