"","evangelical","inputstate","pew_churatd"
"989",0,49,2
"990",1,37,2
"991",0,29,1
"992",0,42,6
"993",1,12,1
"994",1,37,3
"995",1,29,6
"996",1,47,5
"997",0,29,5
"998",0,19,5
"999",1,5,1
"1000",1,12,2
"1001",0,39,4
"1002",0,12,5
"1003",1,28,2
"1004",0,26,5
"1005",0,41,2
"1006",1,18,5
"1007",0,53,5
"1008",0,17,2
"1009",1,54,5
"1010",0,12,6
"1011",0,31,6
"1012",0,20,6
"1013",0,39,6
"1014",0,45,5
"1015",0,12,6
"1016",0,36,5
"1017",0,42,6
"1018",0,48,4
"1019",0,12,5
"1020",0,45,4
"1021",0,17,6
"1022",0,42,4
"1023",0,41,4
"1024",1,15,2
"1025",0,25,3
"1026",1,6,2
"1027",0,36,5
"1028",0,6,6
"1029",0,35,5
"1030",0,12,5
"1031",1,54,1
"1032",0,25,6
"1033",0,39,6
"1034",0,48,6
"1035",0,55,5
"1036",0,26,2
"1037",0,48,6
"1038",0,25,3
"1039",1,6,3
"1040",0,4,5
"1041",1,4,2
"1042",1,48,4
"1043",0,37,5
"1044",0,6,2
"1045",0,39,3
"1046",1,27,5
"1047",0,33,6
"1048",0,34,6
"1049",0,22,1
"1050",1,42,2
"1051",0,32,4
"1052",0,48,6
"1053",0,53,6
"1054",0,48,2
"1055",0,32,6
"1056",0,8,3
"1057",1,18,2
"1058",0,32,6
"1059",1,6,5
"1060",0,32,4
"1061",0,37,6
"1062",0,19,2
"1063",0,40,6
"1064",1,42,1
"1065",0,39,2
"1066",1,20,5
"1067",0,6,5
"1068",1,37,5
"1069",1,39,2
"1070",0,33,6
"1071",1,55,1
"1072",1,29,5
"1073",0,36,3
"1074",0,42,5
"1075",0,26,6
"1076",0,36,4
"1077",1,20,1
"1078",0,26,6
"1079",0,53,6
"1080",0,16,6
"1081",1,55,2
"1082",1,53,5
"1083",1,6,3
"1084",1,55,2
"1085",0,4,5
"1086",0,20,2
"1087",0,19,6
"1088",0,39,4
"1089",1,28,1
"1090",0,4,5
"1091",1,12,4
"1092",0,12,6
"1093",1,4,3
"1094",0,55,2
"1095",0,42,6
"1096",1,17,3
"1097",1,30,5
"1098",0,13,2
"1099",1,53,2
"1100",1,40,5
"1101",0,4,5
"1102",1,29,4
"1103",1,36,2
"1104",0,19,2
"1105",1,20,1
"1106",0,39,6
"1107",1,26,2
"1108",0,17,6
"1109",1,6,1
"1110",0,12,2
"1111",0,21,3
"1112",0,6,6
"1113",1,32,6
"1114",0,50,4
"1115",1,4,5
"1116",0,12,3
"1117",1,42,5
"1118",1,37,5
"1119",0,17,5
"1120",0,6,2
"1121",0,39,2
"1122",0,6,4
"1123",1,47,5
"1124",0,39,5
"1125",0,17,4
"1126",0,39,1
"1127",1,13,5
"1128",0,41,6
"1129",0,24,1
"1130",0,6,6
"1131",0,42,7
"1132",0,37,5
"1133",0,17,3
"1134",1,16,4
"1135",0,9,2
"1136",0,17,2
"1137",0,53,4
"1138",0,8,2
"1139",0,39,6
"1140",0,48,2
"1141",1,48,6
"1142",0,6,6
"1143",1,12,5
"1144",0,34,4
"1145",0,34,4
"1146",0,8,2
"1147",0,17,6
"1148",0,4,6
"1149",0,42,6
"1150",1,13,2
"1151",0,12,2
"1152",0,5,6
"1153",0,6,6
"1154",0,6,6
"1155",0,12,5
"1156",0,25,5
"1157",0,12,2
"1158",0,53,5
"1159",0,13,3
"1160",0,23,6
"1161",0,34,5
"1162",0,12,5
"1163",0,6,6
"1164",0,30,5
"1165",0,48,6
"1166",0,48,5
"1167",0,19,6
"1168",0,17,6
"1169",0,39,1
"1170",0,5,3
"1171",0,19,6
"1172",0,37,6
"1173",0,6,2
"1174",0,53,5
"1175",1,36,2
"1176",0,37,5
"1177",0,6,5
"1178",0,45,2
"1179",0,39,3
"1180",1,5,1
"1181",0,53,5
"1182",0,34,1
"1183",0,53,1
"1184",0,25,4
"1185",0,12,6
"1186",0,36,2
"1187",0,25,6
"1188",1,47,3
"1189",0,6,5
"1190",1,12,2
"1191",0,4,5
"1192",0,12,5
"1193",1,22,5
"1194",0,12,4
"1195",0,6,3
"1196",1,22,1
"1197",1,12,5
"1198",1,13,1
"1199",0,6,5
"1200",1,48,1
"1201",1,12,2
"1202",1,6,5
"1203",0,24,6
"1204",0,4,5
"1205",0,53,6
"1206",0,53,5
"1207",0,51,4
"1208",0,22,5
"1209",0,4,6
"1210",0,42,1
"1211",0,46,1
"1212",0,22,2
"1213",0,32,5
"1214",0,6,6
"1215",0,34,3
"1216",0,36,5
"1217",1,47,2
"1218",0,42,6
"1219",0,8,5
"1220",0,49,5
"1221",0,12,4
"1222",0,27,5
"1223",0,48,5
"1224",1,48,5
"1225",0,33,4
"1226",0,17,6
"1227",1,6,5
"1228",0,12,1
"1229",1,12,1
"1230",1,47,2
"1231",0,53,5
"1232",0,41,2
"1233",0,45,2
"1234",0,48,5
"1235",0,6,5
"1236",0,34,2
"1237",0,29,5
"1238",0,36,5
"1239",0,25,5
"1240",0,6,4
"1241",0,47,5
"1242",1,21,2
"1243",1,42,5
"1244",0,53,4
"1245",1,48,2
"1246",1,54,2
"1247",0,34,5
"1248",0,9,5
"1249",1,41,1
"1250",1,47,2
"1251",0,39,3
"1252",0,19,2
"1253",0,50,6
"1254",1,20,2
"1255",0,6,6
"1256",0,9,5
"1257",0,17,6
"1258",0,17,6
"1259",0,34,2
"1260",0,42,2
"1261",0,49,6
"1262",0,19,6
"1263",0,12,5
"1264",1,39,5
"1265",0,19,6
"1266",0,6,6
"1267",1,36,4
"1268",0,12,1
"1269",0,36,5
"1270",0,26,1
"1271",1,42,5
"1272",1,54,5
"1273",0,36,2
"1274",1,29,6
"1275",0,47,5
"1276",0,42,4
"1277",1,6,4
"1278",1,48,3
"1279",1,33,5
"1280",1,17,3
"1281",0,27,6
"1282",0,36,6
"1283",0,41,5
"1284",0,29,6
"1285",0,19,5
"1286",0,12,4
"1287",0,6,4
"1288",1,42,1
"1289",1,2,4
"1290",0,34,4
"1291",1,37,1
"1292",0,35,3
